Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2018-01-01 10:15PM,2018-01-02 06:02AM,453,14,,467,,,
2017-12-31 11:09PM,2018-01-01 07:18AM,458,31,,489,,,
2017-12-30 11:08PM,2017-12-31 07:10AM,464,16,,481,,,
2017-12-29 10:21PM,2017-12-30 07:00AM,499,20,,519,,,
2017-12-28 09:49PM,2017-12-29 07:17AM,497,71,,568,,,
2017-12-27 11:13PM,2017-12-28 06:33AM,414,25,,439,,,
2017-12-26 10:31PM,2017-12-27 06:24AM,457,16,,473,,,
2017-12-25 10:23PM,2017-12-26 06:15AM,455,16,,472,,,
2017-12-24 10:30PM,2017-12-25 06:11AM,413,47,,460,,,
2017-12-23 10:13PM,2017-12-24 07:08AM,504,24,,535,,,
2017-12-22 10:32PM,2017-12-23 07:33AM,491,49,,540,,,
2017-12-21 09:55PM,2017-12-22 06:15AM,455,45,,500,,,
2017-12-21 01:09AM,2017-12-21 07:10AM,344,17,,361,,,
2017-12-20 12:51AM,2017-12-20 05:33AM,258,24,,282,,,
2017-12-19 09:04PM,2017-12-19 11:27PM,130,12,,143,,,
2017-12-18 09:19PM,2017-12-19 05:11AM,439,32,,472,,,
2017-12-17 10:34PM,2017-12-18 05:44AM,420,10,,430,,,
2017-12-16 09:06PM,2017-12-17 06:12AM,526,19,,546,,,
2017-12-14 10:01PM,2017-12-15 06:23AM,465,37,,502,,,
2017-12-14 05:53AM,2017-12-14 06:55AM,62,0,,62,,,
2017-12-13 10:25PM,2017-12-14 04:12AM,322,19,,347,,,
2017-12-12 10:00PM,2017-12-13 06:15AM,465,30,,495,,,
2017-12-11 10:03PM,2017-12-12 06:45AM,484,37,,521,,,
2017-12-10 10:19PM,2017-12-11 06:29AM,482,8,,490,,,
2017-12-09 10:56PM,2017-12-10 07:17AM,494,7,,501,,,
2017-12-08 10:37PM,2017-12-09 07:27AM,490,33,,530,,,
2017-12-07 10:25PM,2017-12-08 06:44AM,469,30,,499,,,
2017-12-06 09:49PM,2017-12-07 06:33AM,499,24,,524,,,
2017-12-05 10:17PM,2017-12-06 06:31AM,437,55,,493,,,
2017-12-04 10:53PM,2017-12-05 06:32AM,418,41,,459,,,
2017-12-03 10:44PM,2017-12-04 06:13AM,428,21,,449,,,
2018-02-01 10:31PM,2018-02-02 06:32AM,453,27,,481,,,
2018-01-29 10:15PM,2018-01-30 06:35AM,478,19,,500,,,
2018-01-28 10:27PM,2018-01-29 06:44AM,481,16,,497,,,
2018-01-26 11:12PM,2018-01-27 06:07AM,402,13,,415,,,
2018-01-26 12:14AM,2018-01-26 06:43AM,376,13,,389,,,
2018-01-25 08:52PM,2018-01-25 10:52PM,109,11,,120,,,
2018-01-24 11:09PM,2018-01-25 06:41AM,429,23,,452,,,
2018-01-21 09:57PM,2018-01-22 06:32AM,506,9,,515,,,
2018-01-20 10:04PM,2018-01-21 07:27AM,522,41,,563,,,
2018-01-19 10:35PM,2018-01-20 05:23AM,368,40,,408,,,
2018-01-18 10:04PM,2018-01-19 03:43AM,327,12,,339,,,
2018-01-17 11:05PM,2018-01-18 06:31AM,438,6,,445,,,
2018-01-16 09:48PM,2018-01-17 06:29AM,509,12,,521,,,
2018-01-15 10:16PM,2018-01-16 06:34AM,458,34,,498,,,
